packageName,rank,downloads,phantomCount,vulnerablePhantomCount,phantomDeps
bitarray,765,17423024,2,1,matplotlib;scipy
jpype1,766,17410806,5,1,jedi;org;pyinstaller;pyobjctools;typing-extensions
natsort,767,17397660,3,0,icu;setuptools-scm;typing-extensions
astunparse,768,17352098,0,0,
thinc,769,17347652,7,1,cupy;cupyx;h5py;os-signpost;thinc-apple-ops;thinc-bigendian-ops;torch
jsonpickle,770,17165742,1,0,qtpy
langgraph,772,17102589,13,6,dotenv;langchain;langchain-protocol;langsmith;msgspec;numpy;pycryptodome;pydantic-core;pyperf;requests;starlette;typing-extensions;uvloop
flit-core,774,17000377,2,1,a-package-that-doesnt-exist;keyring
opentelemetry-instrumentation-wsgi,776,16952747,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
blis,777,16913115,2,1,cython;fabric
lazy-loader,778,16898166,1,0,click
hypothesis,779,16887840,9,3,annotated-types;attr;grequests;ipython;requests;scipy;tomli;typing-extensions;vl-convert
posthog,780,16874537,6,2,agents;asgiref;queue;redis;urllib3;urlparse
marisa-trie,781,16786007,1,0,cython
pydeck,782,16695746,2,0,ipywidgets;traitlets
pickleshare,783,16619462,2,0,cpickle;pathlib2
statsd,784,16560930,0,0,
aws-xray-sdk,785,16532939,1,0,wrapt
aioboto3,786,16426675,5,1,boto3;botocore;github;requests;s3transfer
mypy-boto3-sts,788,16386816,4,0,mypy-boto3-s3;pytest-mock;types-aiobotocore-s3;types-boto3-s3
jsonref,789,16386111,1,1,requests
python-docx,790,16379131,0,0,
rich-click,792,16279449,0,0,
levenshtein,794,16221409,0,0,
backcall,795,16215844,0,0,
langcodes,796,16211935,0,0,
apache-airflow-providers-ssh,797,16169509,67,7,airflow-client;airflow-shared;anyio;arango;attr;bson;certifi;colorama;daemon;datamodel-code-generator;docx;dotenv;elastic-transport;fastapi-cli;flask-babel;flask-jwt-extended;gcloud;github3;googleapiclient;gremlin-python;httpcore;influxdb-client-3;jpype;jupyter-client;pyjwt;kiota-abstractions;kiota-authentication-azure;kiota-http;kiota-serialization-json;kiota-serialization-text;kombu;langchain-community;langchain-core;langchain-text-splitters;ldap;llama-index;markupsafe;msal;msrest;msrestazure;mypy-boto3-appflow;mypy-boto3-rds;mypy-boto3-redshift-data;mypy-boto3-s3;mypy-boto3-verifiedpermissions;mysqldb;odps;onelogin;openapi-spec-validator;opensearchpy;performance-dags;prestodb;proto;psycopg2;pydantic-core;pymysql;pytz;requests-gssapi;slugify;smbclient;thrift;traitlets;unit;upath;vertex-ray;vertexai;watchfiles
apscheduler,798,16154111,6,0,attr;bson;paho;pyqt6;pyside6;sniffio
opencensus,799,16096489,11,2,basehttpserver;bitarray;prometheus-client;psutil;psycopg2;six;starlette;thrift;urllib2;urlparse;wrapt
tifffile,800,16093872,5,3,imagecodecs;lxml;matplotlib;numpy;xarray
resolvelib,801,16091050,0,0,
djangorestframework,802,16067830,7,4,inflection;markdown;pygments;pytz;pyyaml;requests;uritemplate
cymem,803,15973755,0,0,
makefun,804,15962802,6,1,click;funcsigs;github;keyring;setuptools-scm;toml
murmurhash,805,15950278,0,0,
oracledb,806,15926684,7,3,cx-oracle;docutils;geopandas;packaging;polars;shapely;torch
cssselect,807,15913802,1,0,typing-extensions
cloudpathlib,808,15881439,1,0,pydantic-core
fire,809,15880826,2,1,colorama;ipython
srsly,810,15869708,6,2,cloudpickle;cupy;msgpack;numpy;ruamel;ujson
catalogue,812,15734771,1,0,pep517
pyproject-api,813,15692594,0,0,
filetype,814,15692456,0,0,
watchtower,815,15692198,1,0,botocore
wcmatch,816,15585363,0,0,
opencensus-context,818,15515584,11,2,basehttpserver;bitarray;prometheus-client;psutil;psycopg2;six;starlette;thrift;urllib2;urlparse;wrapt
opentelemetry-instrumentation-urllib3,819,15487970,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
fasteners,820,15424227,0,0,
markdownify,821,15391776,0,0,
opentelemetry-instrumentation-dbapi,822,15377567,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
libclang,823,15366567,0,0,
databricks-cli,824,15306969,7,3,basehttpserver;databrickscli;httplib;ipython;pyjwt;pyspark;urlparse
daff,825,15272804,0,0,
einops,826,15235209,11,5,cupy;jax;markdown;mlx;nbconvert;nbformat;numpy;pygments;pytensor;tinygrad;typing-extensions
stripe,827,15202542,3,1,aiohttp;anyio;pycurl
frozendict,828,15155504,1,1,orjson
wasabi,830,15107653,1,0,colorama
sqlalchemy-spanner,831,15106228,1,0,testcontainers
astor,833,15095922,0,0,
pydeequ,834,15059844,5,1,boto3;botocore;essential-generators;py4j;requests
griffe,835,15058858,11,2,code2flow;colorama;duty;jinja2;mkdocs-gen-files;packaging;pdm;pysource-codegen;pysource-minimize;tomli;typing-extensions
keyrings-google-artifactregistry-auth,836,15055135,2,1,keyring;pluggy
preshed,837,15018874,2,1,fabric;fabtools
docker-pycreds,838,14930638,0,0,
language-data,839,14889666,1,0,langcodes
uuid6,840,14838163,0,0,
pyproj,841,14811359,0,0,
pydot,842,14708859,0,0,
wtforms,843,14708587,1,1,babel
polars-runtime-32,844,14687597,7,3,arrow-odbc;extend-polars;ipython;marimo;rmm;tornado;typing-extensions
cfn-lint,845,14686694,15,3,boto3;botocore;jinja2;jschema-to-python;jsonpatch;jsonpointer;junit-xml;networkx;pyyaml;regex;requests;samtranslator;sarif-om;sympy;typing-extensions
imbalanced-learn,846,14683810,1,1,docutils
fastparquet,848,14674347,7,3,bson;cython;lzo;orjson;pyarrow;rapidjson;ujson
pyathena,849,14667255,1,0,pyathenajdbc
asynctest,850,14635144,0,0,
time-machine,851,14624079,0,0,
pipx,852,14534332,4,1,build-manpages;jinja2;mkdocs-gen-files;pycowsay
pyspnego,854,14481076,2,0,argcomplete;ruamel
flask-wtf,855,14467719,4,2,babel;flask-babel;markupsafe;werkzeug
pytest-html,856,14422943,1,0,ansi2html
datadog-api-client,857,14406545,4,1,aiosonic;typing-extensions;urllib3;zstandard
click-option-group,858,14400325,0,0,
airbyte-cdk,859,14389998,8,0,airbyte-protocol-dataclasses;anyio;dagger;freezegun;pydantic-core;pympler;requests-mock;ulid
parameterized,860,14347575,2,0,mock;nose
opentelemetry-instrumentation-urllib,861,14342596,16,3,agents;aiormq;astor;billiard;elastic-transport;gevent;langchain-core;mcp;multidict;mysqldb;readme-renderer;snappy;tomli;tomli-w;tortoise;yarl
weaviate-client,862,14267118,6,1,grpc-health;h5py;pydantic-core;uvicorn;weaviate-agents;xdist
hydra-core,865,14217760,17,6,ax;boto3;cloudpickle;fakeredis;jinja2;joblib;nevergrad;optuna;pickle5;ray;read-version;redis;requests;rq;submitit;tools;torch
